Project Title,Student Display Name,Organization Name,Mentors,
Implementing a Hybrid recommendation sytem with a new onboarding experience to enhance UX for Teem,prastut,Berkman Center for Internet and Society,"Samer, atd",
Add educational activities to GCompris (In Qt Quick),Stefan Toncu,KDE,Sagar Chand Agarwal,
Python 3 Support for Ceph,Oleh Prypin,Ceph,jdurgin,
University Campus Portal (UCP),Pranav Tiwari,BuildmLearn,Avnee Nathani,
Open source energy simulation database : using MEAN Stack,Khushboo Mandlecha,"Urban Energy Systems Laboratory, Empa","Ashreeta, ABollinger",
nomacs Image Stitching Plug-in,npcdoom,Computational Science and Engineering at TU Wien,"markus, stefanfiel@gmail.com, flo",
Proposal for the Apache REEF project,wonook,Apache Software Foundation,"johnyangk, bgchun",
Integrating Machine Learning in Jupyter Notebooks,attila,CERN SFT,"Bertrand Bellenot, etejedor, Sergei Gleyzer",
Better support HEAD formulae,Vlad Shablinsky,Homebrew,Xu Cheng,
Design and developement of a full graph-based SLAM strategy in mrpt,bergercookie,Mobile Robot Programming Toolkit (MRPT),"Edu Fdez, Jose Luis Blanco-Claraco",
Integrating ruby-macho fully into Homebrew and removing external dependencies on install_name_tool/otool entirely,woodruffw,Homebrew,UniqMartin,
Porting musl libc to RISC-V,omasanori,lowRISC,dalias,
Best responses representation in bimatrix games,Amelie HELIOU,Gambit - Software Tools for Game Theory,"rahulsavani, cpelissier, bvonstengel",
Regularized interval regression,kcm,R project for statistical computing,"Toby Dylan Hocking, jelleg@gmail.com",
Asynchronous lifecycle events for storage objects,gulic,Libvirt,Cole Robinson,
mConference Framework,jaiagarwal,BuildmLearn,Rahul Ahuja,
Testing Automation,Anjali,"Systers, an Anita Borg Institute Community","Systers, an Anita Borg Institute Community",
OPENNLP-840 - Sentiment Analysis Project Proposal,anastasijam,Apache Software Foundation,chrismattmann,
Automatic-selection mechanism for data structures in MRI,spinute,Ruby,ko1,
Carbon Footprints,PrateekGupta1509,Computational Science and Engineering at TU Wien,"Ekaterina, Bruno W P",
Cockpit Project's support for systemd timers,Harish Anand,Fedora Project,"Peter, dperpeet",
Grant-Table User-Space Device,ghost_rider,FreeBSD,Roger Pau Monné,
Automatic code generation for State Machines,ibarbech,Robocomp,"Luis J. Manso, pbustos",
News Shot Classification and Analysis,shrutigullapuram,CCExtractor Development,"Mark Bernard Turner, Liontooth",
Web Interface and Generic API Development for Holmes Processing,cvp,The Honeynet Project,"webstergd, Zachary Hanif",
Enhance the Visualization Capabilities of WormSim,petepy,International Neuroinformatics Coordinating Facility,Matteo Cantarelli,
OSTree: Drop privileges for HTTP fetches,Allan E. Gardner,Fedora Project,Giuseppe Scrivano,
The Linux Foundation OpenPrinting Proposal (Draft),Kevin Naughton Jr.,The Linux Foundation,"Till Kamppeter, Robin Watts, James.Cloos@gmail.com",
VDPAU filter,Benjamin St,FFmpeg,cehoyos,
Enhance vignettes and plugin use for R package RCy3 for network manipulation using Cytoscape,jooolia,National Resource for Network Biology (NRNB),Augustin,
Enhancements to the FOSSAsia Open Event Android App,Harshit Dwivedi,FOSSASIA,"victoriabondarchuk@gmail.com, triplez, Duke Leto, Abhishek Batra, MarioB, Elio Qoshi, Oren Golan",
MITMProxy Project 6 - Create a kick-ass web user-interface for mitmproxy!,Jason Hao,The Honeynet Project,"Maximilian Hils, cortesi",
Bonestagram -     DICOM visualisation made fun,Faye,BioJS,"Guy Yachdav, Hesam, sacdallago",
Race detection in Linux kernel,Pavel.Alpha,The Linux Foundation,"Alexey Khoroshilov, Vadim, Vthakkar",
Sugar Labs proposal - Jeremie Amsellem,Jérémie A.,Sugar Labs,"Michaël Ohayon, Lionel Laské",
RDF schema and path finder,Jason Liu,BioJS,"L. Garcia, simonjupp@gmail.com",
Application GSoC: JSBML Validation System,roman_empire,National Resource for Network Biology (NRNB),Andreas Dräger,
Discovr: Streamlining statistical data analysis,RobinKo,R project for statistical computing,"ciroyo, Roland Brock",
Prototyping Tool,sidthekid,Green Navigation,"Flow42, Pepperrs",
Improving Open Event Organisation Server,Adi1702,FOSSASIA,MarioB,
HubTurbo -- Usability Hero,Yijin,TEAMMATES @ National University of Singapore,dariusf,
Fundamental ML: The usual suspects,Saurabh7,Shogun Machine Learning Toolbox,"Heiko Strathmann, lambday, wiking",
"Two Projects to Make A-Frame More Useful, Accessible, and Exciting",bryik,Mozilla,diegomarcos@gmail.com,
Beacon Compliance Suite,Voskoboynick,Global Alliance for Genomics & Health,"miro, mfiume",
Symbolic Package,Abhinav Tripathi,GNU Octave,"Colin Macdonald, Mike Miller",
Improve DISTINCT keyword in Apache Phoenix,Boruch,Apache Software Foundation,Alejandro Fernandez,
coala: Generic Spacing Correction,abhsag24,Python Software Foundation,"Makman2, Lasse Schuirmann (sils1297), fneu",
Import graphs in multiple formats and Cytoscape files into GraphSpace,MridulS,National Resource for Network Biology (NRNB),Murali,
Overhaul the User Management dashboard for ID Dashboard,Dmytro Trifonov,OpenMRS,Robby O'Connor,
Implement filesystem sync in Eclipse Flux,Fjodor Vershinin,Eclipse Foundation,Martin Lippert,
Improve EclipseFlux,Ihor Yatsenko,Eclipse Foundation,Martin Lippert,
LibreCAD V3 Evolvement++,Gaganjyot,BRL-CAD,"Dongxu Li, rvt",
Peace Corps Safety App - iOS,Chamika,"Systers, an Anita Borg Institute Community",Shruti,
Idea 1 - Ales Saska,ales.saska,Computational Biology @ University of Nebraska-Lincoln,David Tichy,
Adding PaaS support to Brooklyn,Jose Carrasco Mora,Apache Software Foundation,andreaturli@gmail.com,
GIFScript: A tool for scripting technical GIF animations,ntrstd,Portland State University,Bart Massey,
Better data structure for selections,Adrian Boguszewski,Inkscape,Tweenk,
New Theme Pack,vicodin,Plone Foundation,zupo,
Prevent Failures due to Update Races,varunjoshi,Mozilla,Ben Hearsum,
YooHoo - The Perfect Chat Engine,Balu Menon,Debian Project,gled,
Spline geometries for isogeometric analysis,youround,Distributed and Unified Numerics Environment (DUNE),blattms,
Machine Transliteration,Irshad,Indic Project,"riyazahbhat@gmail.com, sthottingal",
Flow Algorithms for pgRouting,Illedran,OSGeo - The Open Source Geospatial Foundation,"dkastl, Vicky Vergara",
BeagleBoard GSoC'16: Improving Bone101 Experience,amragaey,BeagleBoard.org,jkridner,
Clustering of Search Results,Richhiey,Xapian Search Engine Library,Path,
Derby bug Fixing,Danoja,Apache Software Foundation,Bryan Pendleton,
"ParallelGraphs, A package for distributed and parallelized graph processing.",pranavtbhat,The Julia Language,"Viral Shah, Shashi Gowda",
Games: Add gamepad support,Megh Parikh,GNOME,Adrien Plazas,
"R+ trees, Hilbert R trees, vantage point trees, random projection trees, UB trees implementation",lozhnikov,mlpack: a scalable C++ machine learning library,Ryan Curtin,
One bus Away Quick start,Brendan Egan,OSGeo - The Open Source Geospatial Foundation,"ogcrudden@gmail.com, mentaer",
PREDICTIVE ANALYTICS WITH ONLINE DATA FOR WSO2 MACHINE LEARNER,mahesh dananjaya,WSO2,"maheshakya, Nirmal Fernando",
Undo for Blocks Editor,abhijit.suresh,MIT Media Lab,Benji X.,
pgmpy: Support for Continuous Random Variables,yashu-seth,Python Software Foundation,ankurankan,
Next Generation of the LuaRocks test suite,roboo,LabLua,Hisham Muhammad,
Dungeon Master,WinterGrascph,ScummVM,"Paul Gilbert, Strangerke",
Enabling llvm’s self-hosted modules builds using libstdc++,CrisCristescu,The LLVM Compiler Infrastructure,Vassil,
De-Mystifying Medical Imaging DICOM Data,Peter Vu,"Biomedical Informatics, Emory University",billbbennett@gmail.com,
Implementing HTML E-Mail support for MediaWiki,Galorefitz,Wikimedia Foundation,"Tony Thomas, Parent5446",
Improve ReactOS USB stack.,mvardan,ReactOS,ThFabba,
"Gestures, Machine learning and other things",Soumitra Agarwal,Red Hen Lab,Mark Turner,
Open Event Orga Server,Rafal Kowalski,FOSSASIA,"victoriabondarchuk@gmail.com, triplez, Duke Leto, Abhishek Batra, MarioB, Elio Qoshi, Oren Golan",
Image Search for Brain Maps,asier.erramuzpe,International Neuroinformatics Coordinating Facility,Chris Gorgolewski,
KDevelop Integration with Arduino and embedded development,PatrickElectric,KDE,scummos,
Mosaicplots in the ggplot2 framework: ggmosaic,haleyj,R project for statistical computing,"Di Cook, heikehofmann@gmail.com",
Music Widgets,Hemant Kasat,Sugar Labs,"pikurasa, Walter Bender",
A Modern Deep Learning module,Edgar Riba,OpenCV,"Bhack, Manuele",
Upgrade to datapackage.json standard,goelakash,NumFOCUS,"henry senyondo, Ethan White",
Extract ECell,benzrf,Celluloid,//de,
The Table Extractor,s.papalini,dbpediaspotlight,"Emanuele Storti, Marco Fossati, Claudia Diamantini, Domenico Potena",
Physics Simulations,Costin Giorgian,BuildmLearn,Pankaj,
Enhancing Open Event Server,aviaryan,FOSSASIA,"Aruna Herath, victoriabondarchuk@gmail.com, triplez, Duke Leto, Abhishek Batra, MarioB, Elio Qoshi, Oren Golan",
Visual Analytics of EnviroCar Tracks,Naveen Jafer,52°North Initiative for Geospatial Open Source Software GmbH,"Matthes Rieke, dewall, Christoph Stasch",
Project Proposal - Reports+ in TEAMMATES -GSoC 2016,rclakmal,TEAMMATES @ National University of Singapore,Damith C. Rajapakse,
Ark project: IMPLEMENT ADVANCED EDITING OF ARCHIVES,mvlabat,KDE,Elvis Angelaccio,
Form based script parameterization,Amarjeet Kapoor,BRL-CAD,Torsten,
Migrating Volunteer Management System to Class based views and Search Engine Implementation,Amrutha S,"Systers, an Anita Borg Institute Community","Systers, an Anita Borg Institute Community",
Application for City Generation and dynamic Simulation,Cpt. Crispy Crunchy,MovingBlocks,"SkySom, Martin Steiger, skaldarnar",
Review of the Area Fill dialog,Rishabh,LibreOffice,"jphilipz, Bubli, htietze",
Interactive visualisation framework for genome mutations in gene and protein networks,krassowski,Open Genome Informatics,reimand,
Enable Apache Phoenix to Support SQL Better,Haoran Zhang,Apache Software Foundation,"Maryann Xue, Alejandro Fernandez, James Taylor",
Gsoc Proposal - Relativistic Hash Table(BU),Vaibhav Raj Gupta,Boston University / XIA,Cody Doucette,
PILT (Panoramic Interactive Live Tracker),MarcGC,Liquid Galaxy Project,"Julio Bondia Barceló, Andreu Ibanez",
Performance 3D Web Graphics with Interactive Features for JSRoot,Peter Whidden,CERN SFT,"Bertrand Bellenot, Sergey Linev",
Proposal for Knitting and IoT-cloud services,niccokunzmann,FOSSASIA,"MarioB, c.obersteiner",
Web-based Dev Tool to create Information Models,shiv12095,Eclipse Foundation,Alexander,
Implement cloud storages support in ScummVM,Tkachov,ScummVM,uruk,
Develop a CommonsNet firmware based on OpenWrt for Conference Networks,ciaoen,FOSSASIA,"MarioB, Willi Döring",
Qt5 and ROS support,dgallegos,Robocomp,"Luis J. Manso, pbustos",
Improving the the patient view page of cBioPortal,rohangoel96,cBioPortal for Cancer Genomics,"inodb, Hongxin",
"""Soft"" double precision floating point support",Hopetech,X.Org Foundation,idr,
Implement MSYS2 based build process and  improve packaging for Mac,georgyberdyshev,ASCEND,John Pye,
GNSS-SDR port to android + configuration GUI,hoernchen,gnss-sdr,"cfernandez, Javier.Arribas",
Learning to Rank Stabilisation,ayshtmr,Xapian Search Engine Library,James Aylett,
Automatic Plugin Documentation Publishing,canyango,Jenkins Project,"Baptiste, rtyler",
Wave Federation protocol over the Matrix Protocol,Waqee Khalid,Berkman Center for Internet and Society,"Samer, pablojan",
API support for Beaglebone Blue,kiran4399,BeagleBoard.org,"Alex Hiam, Abhishek Kumar, m_w, deepakkarki",
Improving diffoscope tool and reproducibility of Debian packages,Satyam Zode,Debian Project,Nicolas Dandrimont,
Open Event WebApp,Agata,FOSSASIA,"Tabesin, EVUS, anweshasrkr@gmail.com",
Report + And Question +,tarun14110,TEAMMATES @ National University of Singapore,kanghj,
Web Component-ize Drupal 8,ztl8702,Drupal,skyred,
Making Oppia usable offline and being more lightweight in transmitting data.,Vishal Gupta,Oppia Foundation,"BenHenning, Madiyar",
GSoC 2016 Application Shekhar Prasad Rajak: Solvers - Completing Solveset,Shekhar Prasad Rajak,SymPy,"Ondřej Čertík, hargup, aktech",
Improving the Public Transport Plugin for JOSM,DaryaGolovko,OpenStreetMap,"Ilya Zverev, Polyglot, Jorge López Fueyo",
Generalised eigenvalue problem,Bumi,GNU Octave,"Nir, carandraug",
Better CSS Style Sheet Support,Kamalpreet Kaur,Inkscape,Tavmjong,
ScrapingHub-Frontera: Dockerization and Orchestration of Frontera Deployments,tmrts,Python Software Foundation,"Joaquin, ptremberth, Alexander Sibiryakov",
Support for KLEE in Debile,Marko Dimjašević,Debian Project,Sylvestre Ledru,
"ggduo: pairs plots for multiple regression, cca, time series",schloerke,R project for statistical computing,"Ryan Hafen, Di Cook",
Passive radar support for gr-radar,debnera,GNU Radio,stwunsch,
A private and secure auctioning library,mate,GNU Project,Christian Grothoff,
Working towards a fully featured version of CBT,ChavXO,Scala,"cvogt, Steven She",
Matlab Simulink Connector - CSE@TUWEIN,PratyushTalreja,Computational Science and Engineering at TU Wien,"thomasfruehwirth, dschachi",
Netlink socket parsers,Fabien Siron,strace,Gabriel Laskar,
Implementing the tracker front end.,Tharindupr,Sustainable Computing Research Group ( SCoRe ),"Rumesh, Kasun",
Ammonite - Better Scripts in Scala,coderabhishek,Scala,Li Haoyi,
Add support to end-to-end testing in the Mobile app,Supun Wanniarachchi,Moodle,Juan Leyva,
Synchronization Framework,AdityaK,CiviCRM,nganivet,
Implementing Service Worker Infrastructure in Servo Browser Engine,creativcoder,Mozilla,mrlachatte@gmail.com,
Integrating Homebrew with Homebrew cask - Proposal,Anastasia,Homebrew,Mike McQuaid,
JUnit and TestNG Test Runner Plugin for Eclipse Che,Mirage,Eclipse Foundation,Florent,
High performance Data Cube materialization and querying using Apache Spark,Sameer Sonawane,Stony Brook University Biomedical Informatics,"bmi-code, Furqan Baig",
Multi-platform continuous tests infrastructure,Yun-Chih Chen,strace,"Philippe Ombredanne, Dmitry Levin",
Framework design and library maintenance,Giacomo Dabisias,Open Detection,Kripasindhu,
RTEMS improvement for Jailhouse hypervisor.,John Hwang,RTEMS Project,"Hesham, Pavel Pisa, Jan Kiszka, Gedare, Ray Xu",
Generic protein expression view for Human Body,JinJin Lin,BioJS,"DanielSIB, Pierre-André Michel",
Devising the Plasma Mobile Emulator,bdhruve,KDE,Bhushan Shah,
"Improving voice, video and chat communication with free software",PranavJain,Debian Project,saghul,
Support for medium and low tile levels in the OSM Vector Map of Marble,Akshat Tandon,KDE,"Dennis Nienhüser, Torsten Rahn",
CPUID,Manasi Thakkar,KolibriOS,Wildwest,
Download app assets at runtime,Krish,Mozilla,skaspari@gmail.com,
Mifos Credit bureau Integration,NikhilPawar,Mifos Initiative,Nayan Ambali,
Testing Automation of Systers Projects,Shraddha Barke,"Systers, an Anita Borg Institute Community","Systers, an Anita Borg Institute Community, Shwetambara",
"Partial rendering of front-end, ReactJS based applications on JVM by using Nashorn engine",jdc91,Health Information Systems Programme,"Mark Polak, Nico",
An automatic generator of WSDL documents to LuaSOAP,Victor Dias,LabLua,Tomás Guisasola,
Build a pure JavaScript client on top of plone.restapi,bcap,Plone Foundation,"Timo Stollenwerk, Ramon Navarro Bosch",
Uploading photos to Google,uajain,GNOME,debarshi.ray,
R bindings for Xapian,Ama,Xapian Search Engine Library,Dirk Eddelbuettel,
ATA/ATAPI drivers AHCI Support,amaneureka,ReactOS,"aionescu, Aleksey Bragin",
Implement an elixir backend for indexing and extending the database,sivsushruth,Beam Community,"benoirc, Nicolas Dufour",
Add tests and educational games support to gvSIG Educa.,Carlos I. Colombana,OSGeo - The Open Source Geospatial Foundation,"jjdelcerrogvsig@gmail.com, Oscar Martinez",
Code Refactor,Jayitra,GNU Project,Jishu,
Rule induction (CN2),matevzkren,Orange – Data Mining Fruitful & Fun,"martinmozina@gmail.com, Janez Demsar, Blaz",
Rich Profile tags and improving the performance of Publiclab.org,Lalith Rallabhandi,Public Lab,"Bronwen, stevie, Bryan Bonvallet, lizbarry",
Integrating CiviCRM with Zapier,merci mukwe,CiviCRM,Erik Hommel,
Improving and Porting Carbon Footprint for Google Maps to Safari and Firefox,Chirag Arora,Computational Science and Engineering at TU Wien,"Ekaterina, Bruno W P",
Implementation of a P2PSP client as an Android application,Chiranjeev Gupta,P2PSP.org,"josejuan.sanchez, JP",
CNN based object localization and recognition for openDetection library,Abhishek Kumar Annamraju,Open Detection,Aditya,
Improve user experience with Table Styles,ubap,LibreOffice,"Jan Holešovský, jphilipz, Miklos Vajna",
Porting Comment alter module to Drupal 8,anchal29,Drupal,czigor,
Hawkular-agent For Vert.x,Austin,JBoss Community,tsegismont,
Approximate Nearest Neighbor Search,Marcos Pividori,mlpack: a scalable C++ machine learning library,sumedhghaisas,
Extend communication outside the LAN,nampi,Open Source Robotics Foundation,"Jose Luis Rivero, caguero",
Image Resize/Crop/Rotate Proposal.,JoeyAndres,Moodle,markn,
Improve One-Click Installer,Shalom Rachapudi David,openSUSE,"cornelius, antoniolarrosa@gmail.com",
Oracle-Based Program Repair,Gunel Jahangirova,Java Pathfinder Team,"Willem Visser, Oksana Tkachuk",
GSoC Student Proposal for SMART/FHIR and GA4GH,Beth2,Global Alliance for Genomics & Health,Gil,
coala: coala-html and coala website,tushar-rishav,Python Software Foundation,"Harsh Dattani, Makman2, Uran198, manoranjan113@gmail.com, Lasse Schuirmann (sils1297)",
plot.xts for Performance and Risk,Eric Hung,R project for statistical computing,"paulteetor, Peter Carl, Joshua Ulrich, Ross Bennett",
Enabling Polyhedral Optimizations in Julia,Matthias Reisinger,The Julia Language,"Jameson, timholy@gmail.com, Tobias Grosser",
Improve ejabberd configuration and extensibility with configuration DSL,gabrielgatu,Beam Community,"Holger Weiß, Mickaël",
Type Inference and C Output for radeco,sushant94,radare,"xvilka, crowell",
External Workspace Manager Plugin,alexsomai,Jenkins Project,"Oleg Nenashev, martindanjou14@gmail.com",
Diagnose my ceph cluster,penguinRaider,The Linux Foundation,"Chris Holcombe, ChrisMacNaughton",
High-performance TCP/IP networking for bhyve VMs using netmap passthrough,vmaffione,FreeBSD,"Luigi Rizzo, giuseppelettieri73@gmail.com",
Work to improve and expand CiviMobile,ahillier,CiviCRM,"Guanhuan Chen, Matt Lind",
Low Level Peripherals & SD Card Support for Raspberry Pi,Mudit Jain,RTEMS Project,"André Lousa Marques, Martin Galvan, Alan C",
TrueHD Encoder,darkapex,FFmpeg,atomnuker,
Hubs and Widgets : New web presence for the Fedora community,devyani7,Fedora Project,"Corey ' linuxmodder' Sheldon, decause, lmacken, Pierre-Yves Chibon",
Smart Coffee Machine with proximity pairing,Alexis Duque,Physical Web Project,"Alexandra, Paco Martin, Andreu",
Exitmap improvements project,mtyamantau,The Tor Project,phw,
Better off-heap collections for Scala,Adam Wyłuda,Scala,Denys Shabalin,
Porting mainline kernel to ARM Cortex-M7 microcontroller,tnishinaga,The Linux Foundation,Greg Kroah-Hartman,
IoT: Raspberry Pi Integration with MIT App Inventor,Thilanka Munasinghe,MIT Media Lab,Will Byrne,
Adding Support for New Import Formats to MP4Box,Reza,GPAC,"Cyril Concolato, Jean Le Feuvre",
Implement PSF photometry for fitting several overlapping objects at once,Zé Vinícius,OpenAstronomy,"hamogu, bsipocz, Erik Tollerud",
Wiki-to-learn (W2L) Desktop Client,jayssj11,KDE,"russelltg, Ovidiu-Florin",
Implement Auto-complete for Soletta Dev-App,kamidi_preetham,Soletta Project,"Bruno Bottazzini, Bruno Dilly",
Module to control LED driver for Optogenic Stimulation,Ananya B,Open Ephys,jonnew,
Library of Time Series methods,OrkoHunter,Timelab Technologies Ltd.,dhuppenkothen,
Message Queue based Archiver,Anirudh Dahiya,GNU Mailman,"thelinuxguy, Florian Fuchs",
JSONiq Support to Apache VXQUERY,cricri,Apache Software Foundation,"Till, prestonc@apache",
Amazon Echo Recipe Integration,Hannah Pedersen,Portland State University,David Kellerman,
IBRI - Interactive Beacon Rescue Interface,mlodeirs,Physical Web Project,"Iván, Cándido, Andreu",
The FreeCAD Plugin Installer,mandeep7,BRL-CAD,Yorik,
Move the Bundler API back into RubyGems.org,sonalkr132,Ruby,"dwradcliffe, Arthur Neves",
Port core OS and a subset of the utilities to a new 32-bit microcontroller,Pradeep Sanjeewa,Apache Software Foundation,"Will, aditihilbert",
Bassa,malithsen,Sustainable Computing Research Group ( SCoRe ),"Madura A., Praneeth Peiris, Randika, Rumesh",
GSoC Project Proposal - OpenMRS Android Client,AvijitGhosh82,OpenMRS,rkorytkowski,
Combining DBpedia and Topic Modelling,wojtuch,dbpediaspotlight,"taraathan@gmail.com, Alexandru, swadpasc",
GSoC 2016 Proposal: WebSocket for syslog ng (Yilin Li),Yilin Li,The syslog-ng project,Lmesz,
Real-Time Navigation and Smart Notifications,tom3012,Green Navigation,"Fabian, Sandy",
Configurable Shortcuts for Pitivi,Jakub,GNOME,aleb,
"AutoComplete ComboBox for Panel's Filter, Interactive Tutorial and GUI Filter Expression Generator",YL,TEAMMATES @ National University of Singapore,Nguyen Duc Thien,
Finish Firebird driver integration,Wastack,LibreOffice,libobase,
Import and export popular data formats from and to dynamic columns.,Kris Massey,MariaDB,"Oleksandr ""Sanja"" Byelkin, Georg",
Honeynet proposal,afeena,The Honeynet Project,"Andrea De Pasquale, Lukas Rist",
Plasma PublicTransport,rharish,KDE,"Mario Fux, Eike Hein",
LibIndic Improvements,jerin,Indic Project,"copyninja, Hrishi",
"Project Proposal for ""Graphical interface for inserting plugins during simulation"" Causevic",AlminCausevic,Open Source Robotics Foundation,"Louise Poubel, Steffi",
Italian Mars Society:Integration of Unity Game scene with the existing pyKinect and emulate a moving skeleton based of the movements tracked by the Kinect sensors.,Shridhar Mishra,Python Software Foundation,"OPersian, VitoGentile, Antonio",
QEMU port of OpenRISC,Dalmon Ian,Free and Open Source Silicion Foundation,Sebastian Macke,
Precise Garbage Collection for D,JDeHaan,D Foundation,"Martin Nowak, Adam Wilson",
ModSecurityv3 IDS connector,akoul,ModSecurity,"Chaim Sanders, p0pr0ck5",
Web App for quick entry of test data in DHIS2 tracker,Shivee,Health Information Systems Programme,"Araz Abishov, Øystein Gammersvik",
Downloading subtitles from various Internet TV services.,abhivinj,CCExtractor Development,"Anshul, Carlos Fernández Sanz",
New Belarusian-Russian language pair,kvld,The Apertium Project,"Rob Reynolds, Trondtr, Francis Tyers",
Add SCSI passthrough to CTL,bhimanshu,FreeBSD,Edward Tomasz Napierala,
Shareable Draft Content,Nikita Dhiman,Joomla!,"coolbung, Achal Aggarwal",
Application for Coders of Habitability project,popeye,McGill Space Institute,Nick,
Raspberry PI USB and Ethernet Support,deval,RTEMS Project,"André Lousa Marques, Ray Xu, Kuan, Alan C",
Loklak: IoT prototypes and a loklak backend systems,Damini,FOSSASIA,Orbiter,
GCC - Further work on addressing mode selection,erikvarga,GNU Project,Oleg Endo,
Documentation tools for Julia,mortenpi,The Julia Language,"one-more-minute, Shashi Gowda, Michael Hatherly",
GSOC proposal for Timeline and Search Navigation for loklak.net,zeus,FOSSASIA,Orbiter,
Crowdsourcing for the Guyana Deaf Community - Google Glass Integration,divyaupadhyay,"Systers, an Anita Borg Institute Community",Julia Proft,
"Improving voice, video and chat communication with free software",udit043,Debian Project,gauravsaini,
Improvements for dstep.,ciechowoj,D Foundation,Russel Winder,
Low Cost Node for a Global Internet of Things Data Network,George Hahn,FOSSASIA,"MarioB, soma",
Ceylon TypeScript Loader,Lucas Werkmeister,JBoss Community,"chochos, Stephane Epardaud",
Importing and exporting simulator-independent model-descriptions with the Brian simulator,dokato,International Neuroinformatics Coordinating Facility,Marcel Stimberg,
Pocket Code - Integrate S2C,Ralph Samer,Catrobat,"thmq, Wolfgang Slany",
Improving markovchain R package,cryptomanic,R project for statistical computing,"Giorgio Alfredo Spedicato, dutangc",
"HTTP/2 Implementations for HTTPServer.jl, Requests.jl, and Mux.jl",Wei Tang,The Julia Language,"Jameson, one-more-minute, malmaud",
BLonD code optimization strategy for parallel and concurrent architectures,Oleg.jakushkin,CERN SFT,helgatimko@gmail.com,
